k[h/Mpc] d^2P/dk^2(z=0.00) d^2P/dk^2(z=0.08) d^2P/dk^2(z=0.17) d^2P/dk^2(z=0.29) d^2P/dk^2(z=0.42) d^2P/dk^2(z=0.59) d^2P/dk^2(z=0.80) d^2P/dk^2(z=1.08) d^2P/dk^2(z=1.45) d^2P/dk^2(z=2.00) 
0.00073891 1052463934.58 736720651.294 -1514518973.86 409969930.354 -244831932.264 742664473.139 57469355.5294 -325365193.34 -6512172.11932 -10165804.4644 
0.00075383 -1448793475.06 -1412898725.09 797559241.148 -1269104391.77 -534712486.676 -1408877434.25 6959988.15939 -932541696.01 -227054986.109 -96258793.3269 
0.00076906 -116362676.071 -117336223.222 -1389744945.84 -111700973.433 631864810.116 961840960.164 -909113886.938 1021987874.07 -64841537.4366 -149329634.106 
0.0007846 -171548190.673 -361113287.54 20309758.1579 -284545657.44 -1116846835.44 -1118236220.87 332278497.449 -976582855.809 -185147436.757 -71250884.7098 
0.00080045 -1139833629.92 -537111859.509 -758865602.236 -619990071.843 -160972934.517 -56348401.7985 -1108697580.61 121252536.67 -67885118.3753 -45657642.9691 
0.00081662 -306668847.389 -284100007.989 334637737.068 336815776.282 -272907147.972 -200896807.919 735316689.236 -119438991.248 -131524904.612 -121704161.51 
0.00083311 -163334590.423 -954290765.535 -873444642.084 -779450815.198 -651061467.364 -581766960.086 -551025146.251 -207987323.497 -181516199.921 -44759008.0819 
0.00084994 -887172835.528 126140751.311 -603673938.966 -606740903.038 28242460.4237 272932481.991 -176468914.745 -151324185.799 -80512981.1796 -103160869.274 
0.00086711 -88411228.3849 -1229350722.66 -268437734.311 1057752.61564 -90414504.1773 -572347132.189 -302830293.797 -224714759.297 -173397361.163 -127297807.419 
0.00088463 -1104007841.51 543795383.203 -314873085.262 -982902328.084 -727249794.597 -417881902.464 -409503929.84 -187925369.525 -56392582.5086 -71601502.3051 
0.0009025 391746551.882 -1148078867.86 -344961672.05 531081655.863 93976352.489 -60468490.3791 240524375.294 -190351064.924 -193040944.776 -41263140.6356 
0.00092073 -1367470704.79 -409209013.865 -638725635.619 -1198456881.52 -1000993167.03 -61130371.3769 -629984673.651 -387422217.72 -88851590.3575 -129898056.919 
0.00093933 67398649.1235 -282339253.461 146739615.732 218558687.423 453853551.443 -723245066.766 159513464.189 245301495.635 -136000966.355 -76351801.845 
0.00095831 -889650298.716 -237823550.384 -1369970851.48 -593643758.258 -1104626646.3 -47207766.6316 -603507163.3 -532617655.784 -172939894.509 -108523811.953 
0.00097767 8009860.66289 -436036097.164 748013636.85 -313978969.463 456990785.68 -301630606.574 78171028.4914 323928375.789 66139421.1289 -2207758.24008 
0.00099742 -1442332618.43 -1663811980.4 -1753075950.02 -908549658.961 -1292013781.09 -200396568.707 -466456714.793 -878411058.289 -487700664.034 -310188626.989 
